dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,BLV,IVI,NB
EDI,Eidgenössisches Departement des Innern,2014,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,21351.6,5857169.45,66906,,,
EDI,Eidgenössisches Departement des Innern,2014,485765205,Wilhelm Kaderselektion AG Bern,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,4983201.85,,,369751.55,,
EDI,Eidgenössisches Departement des Innern,2014,485765205,Wilhelm Kaderselektion AG Bern,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,20612.6,,,16404.15,,
EDI,Eidgenössisches Departement des Innern,2014,483557190,Suisselab AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,1993655.4,,
EDI,Eidgenössisches Departement des Innern,2014,483557190,Suisselab AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,1964250,,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,2874523,,,375,21869.15,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,181956.5,,,146238.4,,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,13929,,,18736.4,54,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",5,Medizinische Produkte und Pharmabereich,,,,,,,,,,29261.8,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",3.1,Brennstoffe,,,,,,,,,,12015,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",15.2,Software inkl. Lizenzen,,,,,,,,,,289.45,
EDI,Eidgenössisches Departement des Innern,2014,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",9.1,"Bundespublikationen, Drucksachen",,,,,,,,,,35,
EDI,Eidgenössisches Departement des Innern,2014,486234347,Schweizerische Gesundheits- stiftung RADIX,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,2273188.4,,48880,,,
EDI,Eidgenössisches Departement des Innern,2014,486234347,Schweizerische Gesundheits- stiftung RADIX,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,2860.5,,,,,90
EDI,Eidgenössisches Departement des Innern,2014,486234347,Schweizerische Gesundheits- stiftung RADIX,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,98,,,
EDI,Eidgenössisches Departement des Innern,2014,484005108,Rod Kommunikation AG,18.4,Informationsarbeit,,,,,,2187759,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,19.4,"Zivile Bauten, Betrieb Immobilien",,,,1969501.15,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,61314.8,,,,,,,6249.2
EDI,Eidgenössisches Departement des Innern,2014,481363729,MIS Trend SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,237000,1617870.65,30000,,,
EDI,Eidgenössisches Departement des Innern,2014,481363729,MIS Trend SA,18.4,Informationsarbeit,,,,40176,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,481363729,MIS Trend SA,18.5,Sprach- und Übersetzungsdienstleistungen,,,,5400,,1404,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480193374,Demoscope Research & Marketing,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,70387.9,1679023.5,85104,,,
EDI,Eidgenössisches Departement des Innern,2014,480193374,Demoscope Research & Marketing,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,32346,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480193374,Demoscope Research & Marketing,18.4,Informationsarbeit,,,,,,5196,,,,,
EDI,Eidgenössisches Departement des Innern,2014,485479096,Inventare.ch GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,1735489.15,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,485479096,Inventare.ch GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,61252.2,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482842911,Bedag Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,564860.7,60829.5,,101973.55,,
EDI,Eidgenössisches Departement des Innern,2014,482842911,Bedag Informatik AG,15.2,Software inkl. Lizenzen,,,,,,,,,678474.4,,
EDI,Eidgenössisches Departement des Innern,2014,482842911,Bedag Informatik AG,15.4,SW-Pflege und HW Wartung,,,,,,183.6,58040.1,,135773.8,,
EDI,Eidgenössisches Departement des Innern,2014,482842911,Bedag Informatik AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,147478.05,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482842911,Bedag Informatik AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,866.7,,
EDI,Eidgenössisches Departement des Innern,2014,481907673,ETHZ Eidgenössische Technische Hochschule Zürich,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,1037000,,,,,,59000
EDI,Eidgenössisches Departement des Innern,2014,481907673,ETHZ Eidgenössische Technische Hochschule Zürich,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,40000,,407884.5,,,,
EDI,Eidgenössisches Departement des Innern,2014,481907673,ETHZ Eidgenössische Technische Hochschule Zürich,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,43731.15,,117.5,,,,
EDI,Eidgenössisches Departement des Innern,2014,481907673,ETHZ Eidgenössische Technische Hochschule Zürich,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,582,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,1527869,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,162,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482752065,"Universität Zürich, Kasse Finanzabteilung",22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,1204799.5,,,,,12
EDI,Eidgenössisches Departement des Innern,2014,482752065,"Universität Zürich, Kasse Finanzabteilung",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,238968.6,31981.5,,,,
EDI,Eidgenössisches Departement des Innern,2014,482752065,"Universität Zürich, Kasse Finanzabteilung",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,2300,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",30405.7,5661.7,20324.15,113948.95,304373.9,314253.3,241165.35,165387.65,137435.1,20983.74,
EDI,Eidgenössisches Departement des Innern,2014,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",360,,364.5,696.15,17078.85,8768.93,64445.6,2940,,879.96,
EDI,Eidgenössisches Departement des Innern,2014,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,11204.52,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480683648,Schweizerische Bundesbahnen SBB,15.3,Telekommunikation,,,,,903.3,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,364.7,,
EDI,Eidgenössisches Departement des Innern,2014,482832115,La Poste Suisse Réseau postal et vente,14.1,Postdienste,,,,,19055.8,,1437346.1,,,,
EDI,Eidgenössisches Departement des Innern,2014,480193184,Gfk Switzerland AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,1405134.55,,,,
EDI,Eidgenössisches Departement des Innern,2014,480676931,EURAD AG,18.4,Informationsarbeit,,,,,,1350224.65,,,,,
EDI,Eidgenössisches Departement des Innern,2014,481843717,Spillmann / Felser / Leo Burnett AG Werbeagentur,18.4,Informationsarbeit,,,,,,1314671,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482461691,Sucht Info Schweiz,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1284185.65,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482461691,Sucht Info Schweiz,18.4,Informationsarbeit,,,,,,10625.6,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482461691,Sucht Info Schweiz,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,2294,,,,,
EDI,Eidgenössisches Departement des Innern,2014,483948647,nicer National Institute for Cancer Epidemiology and Registr,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1242441,,,,,
EDI,Eidgenössisches Departement des Innern,2014,483948647,nicer National Institute for Cancer Epidemiology and Registr,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,771.5,,,,,
EDI,Eidgenössisches Departement des Innern,2014,317802882,Selex Sistemi Integrati GmbH,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,877127.65,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,317802882,Selex Sistemi Integrati GmbH,4.2,Maschinen und Apparate,,,,,350944.13,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,481088086,Kelly Services (Suisse) SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,911038.35,,,,
EDI,Eidgenössisches Departement des Innern,2014,481088086,Kelly Services (Suisse) SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,299710.25,,,,
EDI,Eidgenössisches Departement des Innern,2014,481088086,Kelly Services (Suisse) SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,12846.75,,,,
EDI,Eidgenössisches Departement des Innern,2014,485388701,Yioo Communications AG,18.4,Informationsarbeit,,,,,,844014.75,,,,,
EDI,Eidgenössisches Departement des Innern,2014,485388701,Yioo Communications AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,333262,,,,,
EDI,Eidgenössisches Departement des Innern,2014,481700292,CHUV Hospitalier Universitaires VD CHUV,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,7590,,1168359,,
EDI,Eidgenössisches Departement des Innern,2014,481700292,CHUV Hospitalier Universitaires VD CHUV,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,1100,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,428846.35,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,15.4,SW-Pflege und HW Wartung,,,,,342056.5,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,15.3,Telekommunikation,,,,,163706.35,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,19.3,"Zivile Bauten, Miete",,,,,162981.1,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,15.1,Hardware,,,,,35783.5,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,23307.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,16046.5,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,6.1,"Transportdienstleistungen, Güter und Waren",,,,,2199.65,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,999,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480476258,Flughafen Zürich AG,4.2,Maschinen und Apparate,,,,,230,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,11284.1,25725.6,,,816626.05,,,,70891.7
EDI,Eidgenössisches Departement des Innern,2014,480232263,Elca Informatique SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,114047.1,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480232263,Elca Informatique SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,33065.1,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,,,,,22747.5,,,,
EDI,Eidgenössisches Departement des Innern,2014,482020240,"IBSF Institut für Begleit- und Sozialforschung, Dr. Max Müll",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1042230,,,,,
EDI,Eidgenössisches Departement des Innern,2014,484731026,Kiwi Consultants GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,703758.05,,55849.5,,
EDI,Eidgenössisches Departement des Innern,2014,484731026,Kiwi Consultants GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,87075,,
EDI,Eidgenössisches Departement des Innern,2014,484731026,Kiwi Consultants GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,56376,,,,
EDI,Eidgenössisches Departement des Innern,2014,484731026,Kiwi Consultants GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,3207.6,,,,
EDI,Eidgenössisches Departement des Innern,2014,481861545,Büro für Arbeits und sozialpolit Studien BASS AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,98400,68038.6,,,,332285.2,59490,240000,,,
EDI,Eidgenössisches Departement des Innern,2014,481861545,Büro für Arbeits und sozialpolit Studien BASS AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,9997,,,,,
EDI,Eidgenössisches Departement des Innern,2014,488547563,Nitrochemie Wimmis AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,421485.75,,,,,,,,370714.8
EDI,Eidgenössisches Departement des Innern,2014,488547563,Nitrochemie Wimmis AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,4838.4
EDI,Eidgenössisches Departement des Innern,2014,482468738,Quatico Solutions AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,664227.27,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482468738,Quatico Solutions AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,105463.18,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482468738,Quatico Solutions AG,15.4,SW-Pflege und HW Wartung,,,,,18660.46,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482758612,A eins Personal AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,777209.15,,,,,
EDI,Eidgenössisches Departement des Innern,2014,537708422,Seitenbau GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,171000,,,567174.5,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,537708422,Seitenbau GmbH,9.1,"Bundespublikationen, Drucksachen",,,,25200,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,537708422,Seitenbau GmbH,18.4,Informationsarbeit,,,,1200,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,728423943,European Dynamics,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,258638,,,,441106,,
EDI,Eidgenössisches Departement des Innern,2014,728423943,European Dynamics,15.2,Software inkl. Lizenzen,,,,,,,,,60208,,
EDI,Eidgenössisches Departement des Innern,2014,728423943,European Dynamics,15.4,SW-Pflege und HW Wartung,,,,,,,,,3266.25,,
EDI,Eidgenössisches Departement des Innern,2014,482522427,Swiss Post International Logistics AG / General Parcel,14.1,Postdienste,21809.3,11572.4,14082.4,252000.6,,234886.15,,76593.55,132409.85,1853.7,
EDI,Eidgenössisches Departement des Innern,2014,485613595,NextSoft GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,731851,,,,
EDI,Eidgenössisches Departement des Innern,2014,481087984,Interface Politikstudien Forschung Beratung GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,19991.9,,94716,,450466.3,,125000,,,
EDI,Eidgenössisches Departement des Innern,2014,481087984,Interface Politikstudien Forschung Beratung GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,30000,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480498104,Meteolabor AG,4.2,Maschinen und Apparate,,,,,494934.95,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480498104,Meteolabor AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,181288.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480498104,Meteolabor AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,35466.85,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482427916,SCIH Schweizerisches Tropeninstitut,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,693228.61,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482427916,SCIH Schweizerisches Tropeninstitut,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,5979.5,2550,,,,
EDI,Eidgenössisches Departement des Innern,2014,482427916,SCIH Schweizerisches Tropeninstitut,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,1275,,,,,