dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Rüstung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,485582589,RUAG Schweiz AG RUAG Aviation,0,Non disponible,,309000,377322000,5177000,28000,,,3000,20797000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480412043,RUAG Land Systems AG Warhead Division wurde von,0,Non disponible,,69000,151695000,,2000,,1000,68000,28136000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480411870,RUAG Electronics AG,0,Non disponible,,,119673000,638000,,,1251000,34000,43757000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480213412,Mowag GmbH A General Dynamics Company,0,Non disponible,,,145434000,,,,,36000,8677000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480024384,Thales-Amper-Rheinmetall-Consortium (TARC),0,Non disponible,,,69123000,,79000,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,485584648,Siemens IT Solutions and Services AG,0,Non disponible,,122000,31389000,54000,,,19568000,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,329978469,EADS Deutschland GmbH,0,Non disponible,,,37129000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480006329,Ascom (Schweiz) AG Security Communication,0,Non disponible,,,35790000,122000,7000,,,,259000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,0,Non disponible,,,3368000,710000,,,,,31543000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,315871020,Rheinmetall Defence Electronics GmbH,0,Non disponible,,,31428000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,562038349,Kongsberg Defence & Aerospace SA,0,Non disponible,,,26999000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481020550,Pilatus Aircraft Ltd.,0,Non disponible,,,24488000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480007426,Alcatel-Lucent Schweiz AG,0,Non disponible,,448000,19170000,1316000,,,,,284000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480007764,BP (SWITZERLAND) AG,0,Non disponible,,,,,,,,,19677000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,482386989,RUAG Ammotec AG,0,Non disponible,,,19211000,,3000,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480014468,Swisscom (Schweiz) AG,0,Non disponible,127000,4682000,9292000,4255000,1000,4000,579000,,90000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480697783,Novo Business Consultants AG,0,Non disponible,,,14914000,,,,,42000,3619000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,482493876,Calag Carrosserie Langenthal AG,0,Non disponible,,2000,16308000,,5000,,,69000,265000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481833460,Saltech AG,0,Non disponible,,,16442000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,483483855,RWM Schweiz AG,0,Non disponible,,,16385000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,487620064,Triestram und Partner AG,0,Non disponible,,15000,,,,,16000,45000,16053000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480007871,Siemens Schweiz AG Building Technologies,0,Non disponible,,,8030000,1697000,,,2527000,,3817000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,483923962,Saab Bofors Dynamics Schweiz AG,0,Non disponible,,,14935000,,5000,,,,104000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,600583389,ELTA Electronics Industr. Ltd. Subsidiary of IAI Ltd.,0,Non disponible,,,14010000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481935765,Air Total (Suisse) SA,0,Non disponible,,,,,,,,,12457000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480936165,Global IT AG,0,Non disponible,523000,47000,6677000,,97000,,43000,,5051000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481100068,BSR & Partner AG,0,Non disponible,870000,,109000,,,,,,10930000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,484550389,AMAG Automobil- und Motoren AG Teile und Zubehör,0,Non disponible,,3978000,956000,,,,,16000,6339000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480628601,Mercedes-Benz Schweiz AG ein Unternehmen der Daymler AG,0,Non disponible,,367000,9869000,,,,,,194000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,49973027,Thales-Raytheon Systems Company LLC Command & Control System,0,Non disponible,,,10379000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,343993916,Rheinmetall Landsysteme GmbH Betriebsstätte Kassel,0,Non disponible,,,9934000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480594998,Swisscom Directories AG,0,Non disponible,2000,,1688000,7367000,,1000,,,571000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480070192,Roschi Rohde & Schwarz AG Elektronische Messtechnik,0,Non disponible,,2399000,6912000,,217000,,,,12000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,480475920,Fischer Otto AG Elektrotechnische Artikel,0,Non disponible,,14000,40000,6000,,,23000,,9124000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,483981960,The Boston Consulting Group AG (Switzerland),0,Non disponible,,,,,,,,8710000,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481660400,Swisscom Broadcast AG,0,Non disponible,,1417000,2000,6669000,,,204000,,305000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,488858598,Itelligence AG Unternehmensberatung,0,Non disponible,,1174000,2425000,158000,,,,,4748000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,333618259,Eads Deutschland GmbH Defence & Security,0,Non disponible,,,8381000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,488547563,Nitrochemie Wimmis AG,0,Non disponible,,,8224000,,8000,,20000,22000,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,481189269,Schweiz. Bundesbahnen SBB Cargo AG,0,Non disponible,,479000,,,,,,7000,7569000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2011,0,Unknown,0,Non disponible,-1522000,-15522000,-1268131000,-28169000,-452000,-5000,-24232000,-9052000,-234378000